Time stamp,Phytoplankton,Zooplankton,Small prey fishes,Small predators,Large predators
300.0,0.3587696,0.20693879,0.6751342,1.255378,0.73924017
302.34113,0.1452096,0.29662734,0.17317654,1.6020045,0.94201934
304.68228,0.05073268,0.24804412,0.014799457,1.3393898,1.2065824
307.0234,0.04765307,0.16004527,0.0017383829,0.9350835,1.4629011
309.36456,0.088001415,0.12957242,0.00040354143,0.60560083,1.6679822
311.7057,0.1350503,0.1835339,0.00018540231,0.37148443,1.8053269
314.0468,0.08445435,0.25768906,0.00016271365,0.21963416,1.88014
316.38797,0.050930306,0.20580515,0.0001929324,0.12718348,1.9084058
318.7291,0.064008676,0.14972074,0.00023285073,0.073011294,1.9064958
321.07022,0.10750805,0.1513788,0.00028639392,0.041880503,1.8866783
323.41138,0.113584526,0.2183976,0.0004106336,0.024119256,1.856864
325.7525,0.06810774,0.23370098,0.0006903097,0.013986863,1.8217754
328.09366,0.05812362,0.18009114,0.0011083916,0.0081819445,1.7841234
330.43478,0.082474455,0.15159291,0.001604588,0.0048325784,1.7454318
332.7759,0.11304402,0.17987527,0.0023304156,0.0028836555,1.7065488
335.11707,0.09139879,0.22802554,0.0038148775,0.0017404049,1.6679426
337.4582,0.06481138,0.20597331,0.0064816037,0.0010648731,1.6298711
339.79932,0.07183267,0.16528922,0.010061906,0.0006620475,1.5924721
342.14047,0.101543576,0.162744,0.01469171,0.00041895726,1.5558171
344.4816,0.10959181,0.2025691,0.02266497,0.00027093594,1.519938
346.82275,0.083833456,0.21236499,0.03783473,0.00018097479,1.4848435
349.16388,0.08157662,0.17303479,0.06028993,0.00012662816,1.4505365
351.505,0.11473654,0.15203889,0.08790005,9.355171e-5,1.4170076
353.84616,0.14751258,0.17846537,0.12916464,7.361485e-5,1.3842454
356.1873,0.1355155,0.19223204,0.20472017,6.337431e-5,1.352236
358.52844,0.15887713,0.1432615,0.30667183,6.115362e-5,1.3209652
360.86957,0.25666717,0.12945022,0.41233733,6.5257525e-5,1.2904176
363.2107,0.2971192,0.16552265,0.5843782,7.669696e-5,1.2605789
365.55185,0.3436422,0.11149114,0.8203621,0.00010094294,1.231434
367.89297,0.5405126,0.081718,0.9694258,0.00014326883,1.2029737
370.2341,0.60712093,0.10350132,1.1611886,0.00021337433,1.1751852
372.57526,0.66536987,0.06484155,1.3686422,0.0003352602,1.148064
374.91638,0.811235,0.03711908,1.3891643,0.0005409273,1.1216115
377.25754,0.8623995,0.038928647,1.3501847,0.0008748596,1.0958358
379.59866,0.8386682,0.051428374,1.3574158,0.0014184704,1.0707606
381.9398,0.8120319,0.053284522,1.4128212,0.0023272769,1.0464331
384.28094,0.83360195,0.04191292,1.4339073,0.0038679042,1.0229437
386.62207,0.8630728,0.03688259,1.4012692,0.0064546703,1.0004545
388.9632,0.8621795,0.041880894,1.3674183,0.010762082,0.9792312
391.30435,0.83571416,0.050872285,1.3717524,0.01798584,0.9597168
393.64548,0.8171464,0.051953558,1.3995606,0.030300574,0.94267696
395.98663,0.82654005,0.046829168,1.397134,0.0514019,0.9294391
398.32776,0.8328151,0.048528437,1.3567443,0.08717584,0.92224646
400.66888,0.80447745,0.06210528,1.3153279,0.14712122,0.92483515
403.01004,0.7426828,0.081159204,1.2909559,0.24712658,0.94355065
405.35117,0.68113226,0.0955148,1.2277622,0.4116346,0.9894458
407.69232,0.5916452,0.13225453,1.0644449,0.6661253,1.0812418
410.03345,0.39575073,0.20038,0.80245507,1.0087843,1.2478437
412.37457,0.22037886,0.23485574,0.37833628,1.3003713,1.5223594
414.71573,0.10021965,0.26323536,0.08027599,1.1647512,1.886751
417.05685,0.058492053,0.20811008,0.01781308,0.7518443,2.224698
419.39798,0.06915609,0.15641925,0.00735546,0.41892147,2.4508507
421.73914,0.1060932,0.15911737,0.0051657422,0.21695742,2.5621912
424.08026,0.10858805,0.21506524,0.005602714,0.10867418,2.593525
426.42142,0.07154671,0.22420077,0.008063096,0.054047704,2.5795605
428.76254,0.0649241,0.17792216,0.01197228,0.02712185,2.5428002
431.10367,0.0901205,0.15524405,0.016864821,0.013849932,2.4954062
433.44482,0.11628574,0.18375498,0.024451364,0.007241218,2.443461
435.78595,0.0959414,0.21824954,0.039578944,0.0039202585,2.3899324
438.12708,0.080013745,0.1872919,0.0646968,0.0022371402,2.3362632
440.46823,0.10491078,0.1502031,0.095791504,0.0013615268,2.28314
442.80936,0.15271996,0.16195095,0.13650215,0.00088802935,2.2308855
445.1505,0.15200697,0.19608039,0.2111483,0.00063372083,2.1796443
447.49164,0.15618196,0.15374182,0.32530186,0.0005107791,2.129491
449.83276,0.2537741,0.119195625,0.4375377,0.00046044198,2.0804503
452.17392,0.3292321,0.15765628,0.5958764,0.00045587702,2.0325258
454.51505,0.3442481,0.12280965,0.852346,0.0005052132,1.9857159
456.8562,0.54187757,0.07272468,1.0097923,0.0006095655,1.940018
459.19733,0.6511464,0.09242178,1.1554114,0.0007691666,1.8954307
461.53845,0.6657339,0.07428142,1.3690659,0.0010209085,1.8519542
463.8796,0.79633427,0.03819642,1.4195333,0.0014040322,1.8096082
466.22073,0.86969644,0.03407226,1.3664198,0.0019449916,1.7684215
468.56186,0.8581578,0.04602609,1.3410971,0.002699266,1.728431
470.903,0.81528765,0.056670398,1.3870213,0.0037879497,1.6897042
473.24414,0.8159509,0.047297377,1.4367143,0.005414399,1.6523622
475.5853,0.85347676,0.037217353,1.4191858,0.007827693,1.6165982
477.92642,0.8677516,0.038614888,1.3746384,0.011344905,1.5826929
480.26755,0.84686095,0.04826777,1.3607028,0.01648482,1.5510409
482.6087,0.8174765,0.05401854,1.38988,0.02417306,1.522255
484.94983,0.81926566,0.04836251,1.4094607,0.035870478,1.4973147
487.291,0.83733815,0.044583865,1.3840485,0.053531457,1.4777142
489.6321,0.83184385,0.050982628,1.3460207,0.07982846,1.4656388
491.97324,0.79519254,0.06390762,1.334167,0.11895053,1.4643265
494.3144,0.75834537,0.070406176,1.3340346,0.17750855,1.4788179
496.65552,0.74115384,0.07424581,1.2885886,0.26369357,1.5169532
498.99664,0.6921554,0.097119436,1.2040635,0.3846237,1.5902109
501.3378,0.5790093,0.13141486,1.1175629,0.54486775,1.7147678
503.67892,0.48156354,0.14754152,0.9495231,0.73500466,1.9124678
506.02008,0.35628885,0.19992043,0.68428344,0.8946304,2.2036672
508.3612,0.20645942,0.2207493,0.4097626,0.91168034,2.5821843
510.70233,0.14540595,0.20722409,0.20166697,0.7125669,2.9785652
513.04346,0.11606833,0.20325567,0.1196758,0.4298886,3.278623
515.38464,0.10660761,0.18615994,0.10394208,0.22446045,3.4348109
517.72577,0.11868369,0.17223805,0.11663849,0.11211598,3.48069
520.0669,0.13704573,0.17480548,0.15158686,0.057168838,3.4643714
522.408,0.1484758,0.1746999,0.21500519,0.031181863,3.4178033
524.74915,0.17609435,0.15493932,0.307505,0.018764613,3.3576195
527.0903,0.23757103,0.14311083,0.42512202,0.012564172,3.2916756
529.43146,0.2960631,0.14478123,0.588505,0.009372734,3.223622
531.7726,0.3695604,0.119184665,0.79436964,0.0077916714,3.1552808
534.1137,0.5030294,0.09639681,0.98406816,0.007067541,3.0875897
536.45483,0.6037413,0.088592865,1.1721185,0.0068447776,3.0210302
538.79596,0.69446635,0.0648588,1.3248634,0.006992288,2.9558806
541.13715,0.7907303,0.047240157,1.3770093,0.0073875203,2.8923285
543.4783,0.8350671,0.04414519,1.3777007,0.007948119,2.8304627
545.8194,0.8377029,0.047051344,1.3814207,0.008674078,2.7703347
548.1605,0.8316236,0.04791729,1.3975871,0.009616629,2.7120073
550.50165,0.83641815,0.044999503,1.4060459,0.0108318925,2.6555743
552.84283,0.8456024,0.04304895,1.3976327,0.012361042,2.6011457
555.18396,0.8460963,0.044535287,1.3865266,0.014259616,2.548845
557.5251,0.83795244,0.047299888,1.3869494,0.016635627,2.4988317
559.8662,0.8320291,0.0478001,1.3950785,0.019653149,2.4513285
562.20734,0.8342873,0.046303682,1.3963553,0.023500089,2.4066372
564.5485,0.8374769,0.046073392,1.3878411,0.028378574,2.3651412
566.88965,0.8336933,0.048204213,1.3800299,0.034556694,2.3273227
569.2308,0.8249929,0.050672628,1.3798107,0.042434268,2.293807
